"Name","Generic","HTML","Reviews","NumReviews","Score","Popularity","Classes","Off Label"
"Methylin","methylphenidate","https://www.drugs.com/mtm/methylin.html","https://www.drugs.com/comments/methylphenidate/methylin-for-attention-deficit-disorder.html",13,"8.0",7,"CNS stimulants ","No"
"Quillivant XR","methylphenidate","https://www.drugs.com/quillivant-xr.html","https://www.drugs.com/comments/methylphenidate/quillivant-xr-for-attention-deficit-disorder.html",19,"5.4",7,"CNS stimulants ","No"
"Ritalin LA","methylphenidate","https://www.drugs.com/mtm/ritalin-la.html","https://www.drugs.com/comments/methylphenidate/ritalin-la-for-attention-deficit-disorder.html",15,"8.4",7,"CNS stimulants ","No"
"dexmethylphenidate","dexmethylphenidate","https://www.drugs.com/mtm/dexmethylphenidate.html","https://www.drugs.com/comments/dexmethylphenidate/for-attention-deficit-disorder.html",187,"6.9",6,"CNS stimulants ","No"
"Metadate CD","methylphenidate","https://www.drugs.com/pro/metadate-cd.html","https://www.drugs.com/comments/methylphenidate/metadate-cd-for-attention-deficit-disorder.html",40,"7.2",5,"CNS stimulants ","No"
"methamphetamine","methamphetamine","https://www.drugs.com/methamphetamine.html","https://www.drugs.com/comments/methamphetamine/for-attention-deficit-disorder.html",38,"9.0",5,"CNS stimulants, anorexiants","No"
"modafinil","modafinil","https://www.drugs.com/mtm/modafinil.html","https://www.drugs.com/comments/modafinil/for-attention-deficit-disorder.html",31,"7.8",5,"CNS stimulants ","Yes"
"Methylin ER","methylphenidate","https://www.drugs.com/cdi/methylin-er.html","https://www.drugs.com/comments/methylphenidate/methylin-er-for-attention-deficit-disorder.html",8,"8.5",4,"CNS stimulants ","No"
"Zenzedi","dextroamphetamine","https://www.drugs.com/mtm/zenzedi.html","https://www.drugs.com/comments/dextroamphetamine/zenzedi-for-attention-deficit-disorder.html",11,"8.0",3,"CNS stimulants ","No"
"Adzenys XR-ODT","amphetamine","https://www.drugs.com/mtm/adzenys-xr-odt.html","https://www.drugs.com/comments/amphetamine/adzenys-xr-odt-for-attention-deficit-disorder.html",50,"5.9",2,"adamantane antivirals, dopaminergic antiparkinsonism agents","Yes"
"amantadine","amantadine","https://www.drugs.com/mtm/amantadine.html","https://www.drugs.com/comments/amantadine/for-attention-deficit-disorder.html",5,"9.2",2,"CNS stimulants ","No"
"Aptensio XR","methylphenidate","https://www.drugs.com/mtm/aptensio-xr.html","https://www.drugs.com/comments/methylphenidate/aptensio-xr-for-attention-deficit-disorder.html",10,"7.3",2,"CNS stimulants ","Yes"
"armodafinil","armodafinil","https://www.drugs.com/mtm/armodafinil.html","https://www.drugs.com/comments/armodafinil/for-attention-deficit-disorder.html",18,"7.9",2,"CNS stimulants ","No"
"Cotempla XR-ODT","methylphenidate","https://www.drugs.com/mtm/cotempla-xr-odt.html","https://www.drugs.com/comments/methylphenidate/cotempla-xr-odt-for-attention-deficit-disorder.html",7,"6.0",2,"serotonin-norepinephrine reuptake inhibitors ","Yes"
"desvenlafaxine","desvenlafaxine","https://www.drugs.com/mtm/desvenlafaxine.html","https://www.drugs.com/comments/desvenlafaxine/for-attention-deficit-disorder.html",6,"8.3",2,"CNS stimulants ","No"
"Evekeo","amphetamine","https://www.drugs.com/mtm/evekeo.html","https://www.drugs.com/comments/amphetamine/evekeo-for-attention-deficit-disorder.html",31,"6.7",2,"CNS stimulants ","No"
"Mydayis","amphetamine / dextroamphetamine","https://www.drugs.com/mtm/mydayis.html","https://www.drugs.com/comments/amphetamine-dextroamphetamine/mydayis-for-attention-deficit-disorder.html",107,"5.5",2,"nutraceutical products ","Yes"
"omega-3 polyunsaturated fatty acids","omega-3 polyunsaturated fatty acids","https://www.drugs.com/mtm/omega-3-polyunsaturated-fatty-acids.html","https://www.drugs.com/comments/omega-3-polyunsaturated-fatty-acids/for-attention-deficit-disorder.html",9,"8.2",2,"CNS stimulants ","No"
"ProCentra","dextroamphetamine","https://www.drugs.com/mtm/procentra.html","https://www.drugs.com/comments/dextroamphetamine/procentra-for-attention-deficit-disorder.html",2,"9.5",2,"CNS stimulants ","No"
"selegiline","selegiline","https://www.drugs.com/mtm/selegiline.html","https://www.drugs.com/comments/selegiline/for-attention-deficit-disorder.html",1,"10",2,"CNS stimulants ","No"
"Adzenys ER","amphetamine","https://www.drugs.com/mtm/adzenys-er.html","https://www.drugs.com/comments/amphetamine/adzenys-er-for-attention-deficit-disorder.html",1,"0.0",1,"tricyclic antidepressants ","Yes"
"desipramine","desipramine","https://www.drugs.com/mtm/desipramine.html","https://www.drugs.com/comments/desipramine/for-attention-deficit-disorder.html",1,"6.0",1,"CNS stimulants ","No"
"Dyanavel XR","amphetamine","https://www.drugs.com/dyanavel-xr.html","https://www.drugs.com/comments/amphetamine/dyanavel-xr-for-attention-deficit-disorder.html",26,"6.6",1,"CNS stimulants ","No"
"imipramine","imipramine","https://www.drugs.com/mtm/imipramine.html","https://www.drugs.com/comments/imipramine/for-attention-deficit-disorder.html",3,"4.7",1,"tricyclic antidepressants","Yes"
