"Name","Generic","HTML","Reviews","NumReviews","Score","Popularity","Classes","Off Label"
"lisdexamfetamine","lisdexamfetamine","https://www.drugs.com/mtm/lisdexamfetamine.html","https://www.drugs.com/comments/lisdexamfetamine/for-attention-deficit-disorder.html",724,"7.4",9,"CNS stimulants ","No"
"Daytrana","methylphenidate","https://www.drugs.com/cdi/daytrana.html","https://www.drugs.com/comments/methylphenidate/daytrana-for-attention-deficit-disorder.html",68,"8.3",8,"CNS stimulants ","No"
"Focalin XR","dexmethylphenidate","https://www.drugs.com/mtm/focalin-xr.html","https://www.drugs.com/comments/dexmethylphenidate/focalin-xr-for-attention-deficit-disorder.html",88,"7.3",8,"CNS stimulants ","No"
"amphetamine","amphetamine","https://www.drugs.com/amphetamine.html","https://www.drugs.com/comments/amphetamine/for-attention-deficit-disorder.html",111,"6.4",7,"CNS stimulants ","No"
"atomoxetine","atomoxetine","https://www.drugs.com/mtm/atomoxetine.html","https://www.drugs.com/comments/atomoxetine/for-attention-deficit-disorder.html",435,"5.3",7,"CNS stimulants ","No"
"Kapvay","clonidine","https://www.drugs.com/kapvay.html","https://www.drugs.com/comments/clonidine/kapvay-for-attention-deficit-disorder.html",18,"7.4",6,"antiadrenergic agents centrally acting ","No"
"Methylin","methylphenidate","https://www.drugs.com/mtm/methylin.html","https://www.drugs.com/comments/methylphenidate/methylin-for-attention-deficit-disorder.html",13,"8.0",6,"CNS stimulants ","No"
"Quillivant XR","methylphenidate","https://www.drugs.com/quillivant-xr.html","https://www.drugs.com/comments/methylphenidate/quillivant-xr-for-attention-deficit-disorder.html",19,"5.4",6,"CNS stimulants ","No"
"Ritalin LA","methylphenidate","https://www.drugs.com/mtm/ritalin-la.html","https://www.drugs.com/comments/methylphenidate/ritalin-la-for-attention-deficit-disorder.html",15,"8.4",6,"CNS stimulants ","No"
"dexmethylphenidate","dexmethylphenidate","https://www.drugs.com/mtm/dexmethylphenidate.html","https://www.drugs.com/comments/dexmethylphenidate/for-attention-deficit-disorder.html",188,"6.9",5,"CNS stimulants ","No"
"Metadate CD","methylphenidate","https://www.drugs.com/pro/metadate-cd.html","https://www.drugs.com/comments/methylphenidate/metadate-cd-for-attention-deficit-disorder.html",40,"7.2",5,"CNS stimulants ","No"
"methamphetamine","methamphetamine","https://www.drugs.com/methamphetamine.html","https://www.drugs.com/comments/methamphetamine/for-attention-deficit-disorder.html",38,"9.0",4,"CNS stimulants, anorexiants","No"
"modafinil","modafinil","https://www.drugs.com/mtm/modafinil.html","https://www.drugs.com/comments/modafinil/for-attention-deficit-disorder.html",31,"7.8",4,"CNS stimulants ","Yes"
"Methylin ER","methylphenidate","https://www.drugs.com/cdi/methylin-er.html","https://www.drugs.com/comments/methylphenidate/methylin-er-for-attention-deficit-disorder.html",8,"8.5",3,"CNS stimulants ","No"
"Zenzedi","dextroamphetamine","https://www.drugs.com/mtm/zenzedi.html","https://www.drugs.com/comments/dextroamphetamine/zenzedi-for-attention-deficit-disorder.html",11,"8.0",3,"CNS stimulant","No"
"Adzenys XR-ODT","amphetamine","https://www.drugs.com/mtm/adzenys-xr-odt.html","https://www.drugs.com/comments/amphetamine/adzenys-xr-odt-for-attention-deficit-disorder.html",50,"5.9",2,"CNS stimulants ","No"
"Aptensio XR","methylphenidate","https://www.drugs.com/mtm/aptensio-xr.html","https://www.drugs.com/comments/methylphenidate/aptensio-xr-for-attention-deficit-disorder.html",10,"7.3",2,"CNS stimulants ","No"
"Cotempla XR-ODT","methylphenidate","https://www.drugs.com/mtm/cotempla-xr-odt.html","https://www.drugs.com/comments/methylphenidate/cotempla-xr-odt-for-attention-deficit-disorder.html",7,"6.0",2,"CNS stimulants ","No"
"desvenlafaxine","desvenlafaxine","https://www.drugs.com/mtm/desvenlafaxine.html","https://www.drugs.com/comments/desvenlafaxine/for-attention-deficit-disorder.html",6,"8.3",2,"serotonin-norepinephrine reuptake inhibitors ","Yes"
"Evekeo","amphetamine","https://www.drugs.com/mtm/evekeo.html","https://www.drugs.com/comments/amphetamine/evekeo-for-attention-deficit-disorder.html",31,"6.7",2,"CNS stimulants ","No"
"Mydayis","amphetamine / dextroamphetamine","https://www.drugs.com/mtm/mydayis.html","https://www.drugs.com/comments/amphetamine-dextroamphetamine/mydayis-for-attention-deficit-disorder.html",107,"5.5",2,"CNS stimulants ","No"
"omega-3 polyunsaturated fatty acids","omega-3 polyunsaturated fatty acids","https://www.drugs.com/mtm/omega-3-polyunsaturated-fatty-acids.html","https://www.drugs.com/comments/omega-3-polyunsaturated-fatty-acids/for-attention-deficit-disorder.html",9,"8.2",2,"nutraceutical products ","Yes"
"ProCentra","dextroamphetamine","https://www.drugs.com/mtm/procentra.html","https://www.drugs.com/comments/dextroamphetamine/procentra-for-attention-deficit-disorder.html",2,"9.5",2,"CNS stimulants ","No"
"selegiline","selegiline","https://www.drugs.com/mtm/selegiline.html","https://www.drugs.com/comments/selegiline/for-attention-deficit-disorder.html",1,"10",2,"monoamine oxidase inhibitors, dopaminergic antiparkinsonism agents","Yes"
"Adzenys ER","amphetamine","https://www.drugs.com/mtm/adzenys-er.html","https://www.drugs.com/comments/amphetamine/adzenys-er-for-attention-deficit-disorder.html",1,"0.0",1,"CNS stimulants ","No"
"armodafinil","armodafinil","https://www.drugs.com/mtm/armodafinil.html","https://www.drugs.com/comments/armodafinil/for-attention-deficit-disorder.html",18,"7.9",1,"CNS stimulants ","Yes"
"desipramine","desipramine","https://www.drugs.com/mtm/desipramine.html","https://www.drugs.com/comments/desipramine/for-attention-deficit-disorder.html",1,"6.0",1,"tricyclic antidepressants ","Yes"
"Dyanavel XR","amphetamine","https://www.drugs.com/dyanavel-xr.html","https://www.drugs.com/comments/amphetamine/dyanavel-xr-for-attention-deficit-disorder.html",26,"6.6",1,"CNS stimulants ","No"
"imipramine","imipramine","https://www.drugs.com/mtm/imipramine.html","https://www.drugs.com/comments/imipramine/for-attention-deficit-disorder.html",3,"4.7",1,"tricyclic antidepressants","Yes"
